WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
gingerly               -99     0     0     0     0    52     0     0     0     0       0
over                   -99     0     0     0     0    53     0     0     0     0       0
hundreds               -99     0     0     0     0    54     0     0     0     0       0
of                     -99     0     0     0     0    55     0     0     0     0       0
marine                 -99     0     0     0     0    56     0     0     0     0       0
iguanas                -99     0     0     0     0    57     0     0     0     0       0
basking                -99     0     0     0     0    58     0     0     0     0       0
on                     -99     0     0     0     0    59     0     0     0     0       0
the                    -99     0     0     0     0    60     0     0     0     0       0
rocks,                 -99     0     0     0     0    61     0     0     0     0       0
strange                  2     1     7     7     3    62   216     3     3    64       8
creatures                2     1     9     9    11    63   221     3     3    65       3
with                   -99     0     0     0     0    64     0     0     0     0       0
richly                   2     1     6     6    24    65   206     1     1    66       2
coloured                 2     1     8     8    32    66   218     2     2    67       1
velvet                   2     1     6     6    42    67   296     3     3    68       1
coats,                   2     1     6     5    48    68   202     2     2    69       2
looking                  2     1     7     7    56    69    90     3     3    70      13
like                     2     1     4     4    63    70   319     2     2    71      99
like                     2     1     4     4    62    70   104     1     1    72      99
something                2     1     9     9    68    71   150     2     2    73      29
between                  2     2     7     7     5    72   213     5     5    74      42
a                      -99     0     0     0     0    73     0     0     0     0       0
giant                    2     2     5     5    13    74   181     3     3    75       7
lizard                   2     2     6     6    21    75   160     5     5    76       3
and                    -99     0     0     0     0    76     0     0     0     0       0
a                      -99     0     0     0     0    77     0     0     0     0       0
miniature                2     2     9     9    31    78   229     2     2    77       1
dinosaur,                2     2     9     8    40    79   293     1     1    78       3
dinosaur,                2     2     9     8    44    79   214     5     5    79       3
and                    -99     0     0     0     0    80     0     0     0     0       0
found                    2     2     5     5    53    81   191     0     0    80      29
nowhere                  2     2     7     7    61    82   230     2     2    81       6
else                     2     2     4     4    68    83   216     1     1    82       9
on                       2     2     2     2    74    84   311     2     2    84     417
earth                  -99     0     0     0     0    85     0     0     0     0       0
except                   2     3     6     6     5    86   136     5     5    86       4
here                     2     3     4     4     7    87   168     0     0    85      29
in                       2     3     2     2    13    88   241     1     1    87    1091
the                    -99     0     0     0     0    89     0     0     0     0       0
Galapagos.               2     3    10     9    23    90   284     4     4    88       7
Galapagos.               2     3    10     9    24    90   239     5     5    93       7
A                      -99     0     0     0     0    91     0     0     0     0       0
little                   2     3     6     6    38    92   197     2     2    94      33
further                  2     3     7     7    46    93   187     3     3    89       9
further                  2     3     7     7    46    93    72     3     3    95       9
on                     -99     0     0     0     0    94     0     0     0     0       0
were                     2     3     4     4    54    95   243     0     0    90     106
were                     2     3     4     4    55    95   545     1     1    97     106
the                      2     3     3     3    60    96   182     1     1    91    3511
the                      2     3     3     3    59    96   249     0     0   100    3511
blue-footed              2     3    11    11    70    97   173     7     7    92     -99
blue-footed              2     3    11    11    63    97   219     0     0    98     -99
blue-footed              2     3    11    11    66    97   229     3     3    99     -99
blue-footed              2     3    11    11    69    97   220     6     6   101     -99
boobies,                 2     4     8     7     5    98   221     5     5   102       1
boobies,                 2     4     8     7     4    98   272     4     4   103       1
birds                  -99     0     0     0     0    99     0     0     0     0       0
with                     2     4     4     4    16   100   226     1     1   104     393
brilliant                2     4     9     9    25   101   251     5     5   105       7
china-blue               2     4    10    10    34   102   292     4     4   106     -99
china-blue               2     4    10    10    39   102   288     9     9   107     -99
feet,                    2     4     5     4    42   103   168     1     1   108       9
again                    2     4     5     5    51   104   240     4     4   109      28
unique.                  2     4     7     6    56   105   272     3     3   110       7
And                      2     4     3     3    62   106   209     1     1   111    1283
then                     2     4     4     4    68   107   177     3     3   112      71
then                     2     4     4     4    68   107   194     3     3   115      71
there                    2     4     5     5    75   108   223     5     5   113     189
there                    2     4     5     5    71   108   141     1     1   114     189
there                    2     4     5     5    73   108   151     3     3   116     189
were                     2     4     4     4    79   109   121     3     3   117     106
the                    -99     0     0     0     0   110     0     0     0     0       0
flightless               2     5    10    10     6   111   305     2     2   118       1
cormorants,              2     5    11    10    20   112   376     5     5   119       1
birds                    2     5     5     5    32   113   208     5     5   120       8
with                   -99     0     0     0     0   114     0     0     0     0       0
vestigial                2     5     9     9    41   115   257     3     3   121       1
vestigial                2     5     9     9    46   115   289     8     8   123       1
wings                    2     5     5     5    50   116   281     2     2   122       2
who,                     2     5     4     3    57   117   144     3     3   125     157
over                     2     5     4     4    60   118   219     1     1   124      76
the                      2     5     3     3    66   119   184     2     2   126    3511
generations,             2     5    12    11    74   120   243     6     6   127       2
generations,             2     5    12    11    77   120   477     9     9   128       2
have                     3     1     4     4     4   121   352     4     4   131     361
lost                     3     1     4     4     5   122   266     0     0   129      11
the                      3     1     3     3    12   123   139     2     2   132    3511
ability                  3     1     7     7    17   124   188     3     3   130       9
to                     -99     0     0     0     0   125     0     0     0     0       0
fly                    -99     0     0     0     0   126     0     0     0     0       0
because                  3     1     7     7    31   127   216     2     2   133      78
because                  3     1     7     7    29   127   215     0     0   134      78
the                      3     1     3     3    37   128   363     0     0   137    3511
nutrients                3     1     9     9    42   129   274     1     1   135       1
nutrients                3     1     9     9    50   129   153     9     9   136       1
at                     -99     0     0     0     0   130     0     0     0     0       0
the                    -99     0     0     0     0   131     0     0     0     0       0
shoreline                3     1     9     9    58   132   302     0     0   138       2
are                      3     1     3     3    69   133   163     1     1   139     351
so                       3     1     2     2    74   134   137     2     2   140     154
rich                   -99     0     0     0     0   135     0     0     0     0       0
they                     3     2     4     4     4   136   157     4     4   141     258
have                   -99     0     0     0     0   137     0     0     0     0       0
no                     -99     0     0     0     0   138     0     0     0     0       0
need                     3     2     4     4    15   139   190     2     2   142      36
to                     -99     0     0     0     0   140     0     0     0     0       0
leave.                   3     2     6     5    22   141   438     1     1   143      11
The                    -99     0     0     0     0   142     0     0     0     0       0
island                   3     2     6     6    38   143   230     2     2   150       8
of                       3     2     2     2    45   144   174     2     2   151    1757
Fernandina               3     2    10    10    46   145   291     0     0   145       2
Fernandina               3     2    10    10    49   145   319     3     3   146       2
Fernandina               3     2    10    10    52   145   385     6     6   147       2
Fernandina               3     2    10    10    54   145   439     8     8   148       2
Fernandina               3     2    10    10    46   145   216     0     0   149       2
lies                     3     2     4     4    57   146   225     0     0   152      14
at                     -99     0     0     0     0   147     0     0     0     0       0
the                      3     2     3     3    67   148   278     2     2   153    3511
far                    -99     0     0     0     0   149     0     0     0     0       0
western                  3     2     7     7    74   150   166     1     1   154       3
western                  3     2     7     7    76   150    79     3     3   155       3
edge                     3     3     4     4     3   151   411     3     3   156       3
edge                     3     3     4     4     4   151   265     4     4   158       3
of                     -99     0     0     0     0   152     0     0     0     0       0
the                    -99     0     0     0     0   153     0     0     0     0       0
Galapagos                3     3     9     9    17   154   188     5     5   157       7
Galapagos                3     3     9     9    16   154   188     4     4   159       7
archipelago,             3     3    12    11    29   155   377     7     7   160       1
dominated                3     3     9     9    41   156   264     6     6   161       3
by                     -99     0     0     0     0   157     0     0     0     0       0
a                        3     3     1     1    48   158   106     0     0   163    1434
volcano                  3     3     7     7    50   159   182     0     0   162       1
that                     3     3     4     4    59   160   182     1     1   164     871
last                     3     3     4     4    66   161   189     3     3   165      73
last                     3     3     4     4    65   161   254     2     2   168      73
erupted                  3     3     7     7    71   162    97     3     3   166       1
erupted                  3     3     7     7    70   162   173     2     2   169       1
only                     3     3     4     4    76   163   124     0     0   170      97
six                    -99     0     0     0     0   164     0     0     0     0       0
years                    3     4     5     5     5   165   261     1     1   171     104
ago,                   -99     0     0     0     0   166     0     0     0     0       0
and                    -99     0     0     0     0   167     0     0     0     0       0
home                     3     4     4     4    22   168   346     3     3   172      19
to                     -99     0     0     0     0   169     0     0     0     0       0
some                     3     4     4     4    29   170   197     2     2   173      86
of                     -99     0     0     0     0   171     0     0     0     0       0
the                    -99     0     0     0     0   172     0     0     0     0       0
most                     3     4     4     4    40   173    70     1     1   174      93
remarkable             -99     0     0     0     0   174     0     0     0     0       0
wildlife                 3     4     8     8    55   175   301     0     0   176       5
wildlife                 3     4     8     8    59   175   170     4     4   177       5
in                     -99     0     0     0     0   176     0     0     0     0       0
the                      3     4     3     3    70   177   343     3     3   178    3511
world.                   3     4     6     5    77   178   141     6     6   179      60
It                       3     4     2     2    79   179   158     1     1   180     544
was                    -99     0     0     0     0   180     0     0     0     0       0
late                     3     5     4     4     8   181   316     4     4   181      11
afternoon              -99     0     0     0     0   182     0     0     0     0       0
on                     -99     0     0     0     0   183     0     0     0     0       0
one                      3     5     3     3    22   184   193     0     0   182     176
of                     -99     0     0     0     0   185     0     0     0     0       0
the                    -99     0     0     0     0   186     0     0     0     0       0
last                     3     5     4     4    33   187   200     0     0   183      73
days                     3     5     4     4    40   188   173     2     2   192      28
of                       3     5     2     2    44   189   210     1     1   184    1757
the                    -99     0     0     0     0   190     0     0     0     0       0
year,                    3     5     5     4    53   191   183     3     3   185      51
year,                    3     5     5     4    50   191   240     0     0   191      51
year,                    3     5     5     4    53   191   439     3     3   193      51
and                    -99     0     0     0     0   192     0     0     0     0       0
we                       3     5     2     2    61   193   203     1     1   190     179
had                      3     5     3     3    64   194   183     1     1   186     130
had                      3     5     3     3    64   194   153     1     1   197     130
come                     3     5     4     4    70   195    61     3     3   196      37
ashore                   3     5     6     6    76   196   123     4     4   188       3
ashore                   3     5     6     6    75   196   243     3     3   189       3
ashore                   3     5     6     6    76   196   444     4     4   198       3
to                     -99     0     0     0     0   197     0     0     0     0       0
scramble                 4     1     8     8     3   198   188     0     0   199     -99
scramble                 4     1     8     8     7   198   153     4     4   200     -99
round                    4     1     5     5    16   199   212     4     4   203      11
the                    -99     0     0     0     0   200     0     0     0     0       0
rough                    4     1     5     5    22   201   170     0     0   201       2
rough                    4     1     5     5    26   201   296     4     4   207       2
dark                     4     1     4     4    28   202   150     0     0   202       2
dark                     4     1     4     4    30   202    61     2     2   204       2
dark                     4     1     4     4    31   202   217     3     3   208       2
lava                     4     1     4     4    35   203   351     2     2   206     -99
lava                     4     1     4     4    36   203   188     3     3   209     -99
rocks                    4     1     5     5    41   204   170     3     3   210       1
of                     -99     0     0     0     0   205     0     0     0     0       0
Punta                    4     1     5     5    49   206   401     2     2   211       1
Punta                    4     1     5     5    49   206   256     2     2   213       1
Espinosa                 4     1     8     8    53   207   181     0     0   212       1
Espinosa                 4     1     8     8    57   207   210     4     4   214       1
Espinosa                 4     1     8     8    55   207   252     2     2   215       1
Espinosa                 4     1     8     8    57   207   223     4     4   216       1
Espinosa                 4     1     8     8    55   207   396     2     2   217       1
Espinosa                 4     1     8     8    56   207   224     3     3   218       1
Espinosa                 4     1     8     8    58   207   482     5     5   219       1
Espinosa                 4     1     8     8    61   207   146     8     8   220       1
on                     -99     0     0     0     0   208     0     0     0     0       0
the                      4     1     3     3    66   209   189     1     1   221    3511
island.                  4     1     7     6    72   210   148     3     3   222       8
island.                  4     1     7     6    76   210   176     7     7   223       8
In                     -99     0     0     0     0   211     0     0     0     0       0
the                    -99     0     0     0     0   212     0     0     0     0       0
golden                   4     2     6     6     6   213   227     2     2   224       7
afternoon                4     2     9     9    13   214   101     2     2   225       4
light,                 -99     0     0     0     0   215     0     0     0     0       0
with                   -99     0     0     0     0   216     0     0     0     0       0
the                      4     2     3     3    35   217   228     2     2   227    3511
moon                   -99     0     0     0     0   218     0     0     0     0       0
rising                   4     2     6     6    42   219   201     0     0   228       5
rising                   4     2     6     6    46   219   183     4     4   229       5
above                    4     2     5     5    53   220   294     4     4   230       7
the                      4     2     3     3    58   221   216     3     3   231    3511
volcanoes                4     2     9     9    68   222   296     9     9   232       1
on                     -99     0     0     0     0   223     0     0     0     0       0
Isabela                  4     2     7     7    73   224   263     1     1   233       1
Isabela                  4     2     7     7    75   224   406     3     3   234       1
Island                 -99     0     0     0     0   225     0     0     0     0       0
across                   4     3     6     6     7   226   303     0     0   235      28
the                      4     3     3     3    15   227   160     1     1   236    3511
strait,                  4     3     7     6    24   228   429     6     6   237       1
we                     -99     0     0     0     0   229     0     0     0     0       0
could                    4     3     5     5    33   230   187     4     4   238      84
be                     -99     0     0     0     0   231     0     0     0     0       0
forgiven                 4     3     8     8    42   232   300     4     4   239       2
for                    -99     0     0     0     0   233     0     0     0     0       0
thinking                 4     3     8     8    51   234   195     0     0   240      10
that                     4     3     4     4    63   235   186     3     3   241     871
we                     -99     0     0     0     0   236     0     0     0     0       0
were                     4     3     4     4    70   237   175     2     2   242     106
guests                   4     3     6     6    73   238   133     0     0   243       3
in                     -99     0     0     0     0   239     0     0     0     0       0
paradise.                4     4     9     8    11   240   183     8     8   244       2
paradise.                4     4     9     8     8   240   255     5     5   245       2
The                    -99     0     0     0     0   241     0     0     0     0       0
creatures                4     4     9     9    26   242   212     5     5   246       3
you                    -99     0     0     0     0   243     0     0     0     0       0
see                      4     4     3     3    35   244   163     0     0   247      41
in                     -99     0     0     0     0   245     0     0     0     0       0
the                      4     4     3     3    44   246   191     2     2   248    3511
Galapagos                4     4     9     9    50   247   164     4     4   249       7
are                    -99     0     0     0     0   248     0     0     0     0       0
remarkable               4     4    10    10    60   249   222     0     0   250       4
remarkable               4     4    10    10    68   249   139     8     8   251       4
in                     -99     0     0     0     0   250     0     0     0     0       0
their                    4     4     5     5    75   251   148     1     1   252     225
rarity.                  4     5     7     6     7   252   111     7     7   254       2
They                     4     5     4     4     9   253   192     1     1   253     258
are                    -99     0     0     0     0   254     0     0     0     0       0
even                   -99     0     0     0     0   255     0     0     0     0       0
more                     4     5     4     4    26   256   192     4     4   255     168
so                     -99     0     0     0     0   257     0     0     0     0       0
for                    -99     0     0     0     0   258     0     0     0     0       0
their                    4     5     5     5    35   259   194     1     1   256     225
lack                     4     5     4     4    43   260   182     3     3   257       7
of                     -99     0     0     0     0   261     0     0     0     0       0
fear.                    4     5     5     4    50   262   189     2     2   258       9
They                   -99     0     0     0     0   263     0     0     0     0       0
don't                    4     5     5     5    63   264   191     4     4   259     -99
run                      4     5     3     3    68   265   198     3     3   260      20
away.                  -99     0     0     0     0   266     0     0     0     0       0
They                     4     5     4     4    75   267   160     0     0   261     258
They                     4     5     4     4    79   267   190     4     4   262     258
carry                    5     1     5     5     2   268   199     2     2   264       6
on                     -99     0     0     0     0   269     0     0     0     0       0
basking                  5     1     7     7    12   270   159     3     3   265       2
or                     -99     0     0     0     0   271     0     0     0     0       0
playing                  5     1     7     7    24   272   243     4     4   267       6
or                     -99     0     0     0     0   273     0     0     0     0       0
mating                   5     1     6     6    33   274   271     2     2   268       2
or                     -99     0     0     0     0   275     0     0     0     0       0
incubating               5     1    10    10    42   276   220     1     1   269       1
incubating               5     1    10    10    51   276   194    10    10   270       1
their                  -99     0     0     0     0   277     0     0     0     0       0
eggs                     5     1     4     4    60   278   222     2     2   271       1
or                     -99     0     0     0     0   279     0     0     0     0       0
fighting                 5     1     8     8    69   280   191     3     3   272       2
for                      5     1     3     3    77   281   142     2     2   273     519
territory                5     2     9     9     5   282   245     5     5   274       3
territory                5     2     9     9     4   282   244     4     4   277       3
territory                5     2     9     9     7   282   132     7     7   278       3
with                   -99     0     0     0     0   283     0     0     0     0       0
blissful                 5     2     8     8    19   284   283     4     4   275       1
blissful                 5     2     8     8    16   284   224     1     1   279       1
disregard                5     2     9     9    26   285    77     2     2   276       2
disregard                5     2     9     9    26   285   218     2     2   280       2
for                      5     2     3     3    37   286   165     3     3   281     519
human                  -99     0     0     0     0   287     0     0     0     0       0
beings.                  5     2     7     6    45   288    97     1     1   282       4
It                     -99     0     0     0     0   289     0     0     0     0       0
is                       5     2     2     2    56   290   219     1     1   284     717
as                     -99     0     0     0     0   291     0     0     0     0       0
if                     -99     0     0     0     0   292     0     0     0     0       0
you                      5     2     3     3    67   293   186     3     3   285     179
are                    -99     0     0     0     0   294     0     0     0     0       0
walking                  5     2     7     7    73   295   151     1     1   286       5
into                   -99     0     0     0     0   296     0     0     0     0       0
a                        5     3     1     1     6   297   250     1     1   287    1434
David                  -99     0     0     0     0   298     0     0     0     0       0
Attenborough           -99     0     0     0     0   299     0     0     0     0       0
programme,               5     3    10     9    30   300   213     4     4   288       8
and                    -99     0     0     0     0   301     0     0     0     0       0
finding                  5     3     7     7    44   302   229     3     3   289       9
that                   -99     0     0     0     0   303     0     0     0     0       0
the                    -99     0     0     0     0   304     0     0     0     0       0
real                     5     3     4     4    58   305   233     0     0   290      37
thing                  -99     0     0     0     0   306     0     0     0     0       0
is                     -99     0     0     0     0   307     0     0     0     0       0
even                     5     3     4     4    73   308   134     1     1   292      84
better                   5     4     6     6     6   309   212     6     6   293      26
than                   -99     0     0     0     0   310     0     0     0     0       0
you                    -99     0     0     0     0   311     0     0     0     0       0
ever                   -99     0     0     0     0   312     0     0     0     0       0
imagined.                5     4     9     8    23   313   207     2     2   294       2
imagined.                5     4     9     8    29   313   176     8     8   295       2
The                    -99     0     0     0     0   314     0     0     0     0       0
closeness                5     4     9     9    40   315   266     5     5   296       1
of                       5     4     2     2    46   316   229     1     1   297    1757
the                    -99     0     0     0     0   317     0     0     0     0       0
living                   5     4     6     6    55   318   195     3     3   298      10
natural                  5     4     7     7    64   319   192     5     5   299       9
world,                   5     4     6     5    70   320   164     3     3   300      60
in                       5     4     2     2    74   321   130     0     0   301    1091
this                   -99     0     0     0     0   322     0     0     0     0       0
environment              5     5    11    11     8   323   252     3     3   302      10
of                     -99     0     0     0     0   324     0     0     0     0       0
volcanic                 5     5     8     8    26   325   223     6     6   303       1
rock                   -99     0     0     0     0   326     0     0     0     0       0
and                      5     5     3     3    34   327   157     0     0   304    1283
sweeping                 5     5     8     8    46   328   213     8     8   305       2
beaches                  5     5     7     7    53   329   208     6     6   307       2
and                    -99     0     0     0     0   330     0     0     0     0       0
sparse                   5     5     6     6    60   331   242     1     1   306       2
sparse                   5     5     6     6    65   331   245     6     6   308       2
vegetation,              5     5    11    10    72   332   404     6     6   309       2
makes                    6     1     5     5     4   333   302     4     4   310      14
the                    -99     0     0     0     0   334     0     0     0     0       0
Galapagos                6     1     9     9    18   335   160     8     8   311       7
Galapagos                6     1     9     9    16   335    70     6     6   312       7
experience               6     1    10    10    27   336   198     7     7   313      17
special.                 6     1     8     7    36   337   211     5     5   314      10
The                    -99     0     0     0     0   338     0     0     0     0       0
colours                  6     1     7     7    51   339   271     3     3   315       2
help,                    6     1     5     4    58   340   200     2     2   316      21
too.                     6     1     4     3    64   341   220     2     2   317      56
The                    -99     0     0     0     0   342     0     0     0     0       0
intense                  6     1     7     7    71   343   208     0     0   318       2
intense                  6     1     7     7    73   343    99     2     2   319       2
black                  -99     0     0     0     0   344     0     0     0     0       0
of                       6     2     2     2     8   345   185     2     2   320    1757
of                       6     2     2     2     6   345   165     0     0   321    1757
the                    -99     0     0     0     0   346     0     0     0     0       0
rock,                  -99     0     0     0     0   347     0     0     0     0       0
the                    -99     0     0     0     0   348     0     0     0     0       0
startling                6     2     9     9    23   349   267     0     0   323       1
startling                6     2     9     9    32   349   272     9     9   324       1
blue                   -99     0     0     0     0   350     0     0     0     0       0
of                       6     2     2     2    39   351   225     1     1   325    1757
sea                    -99     0     0     0     0   352     0     0     0     0       0
and                      6     2     3     3    46   353   188     1     1   326    1283
sky,                     6     2     4     3    53   354   272     4     4   327       4
the                    -99     0     0     0     0   355     0     0     0     0       0
crimson                  6     2     7     7    61   356   277     3     3   328       1
of                     -99     0     0     0     0   357     0     0     0     0       0
the                      6     2     3     3    69   358   175     0     0   329    3511
mating                   6     2     6     6    73   359   209     0     0   330       2
mating                   6     2     6     6    76   359   146     3     3   331       2
frigate-birds,           6     3    14    13     7   360   215     7     7   332     -99
frigate-birds,           6     3    14    13     4   360   239     4     4   333     -99
frigate-birds,           6     3    14    13     3   360   363     3     3   334     -99
the                      6     3     3     3    18   361   158     3     3   335    3511
yellow                   6     3     6     6    25   362   265     6     6   336       4
of                     -99     0     0     0     0   363     0     0     0     0       0
the                    -99     0     0     0     0   364     0     0     0     0       0
warblers,                6     3     9     8    33   365   169     0     0   337       1
warblers,                6     3     9     8    36   365   329     3     3   338       1
warblers,                6     3     9     8    41   365   182     8     8   339       1
the                    -99     0     0     0     0   366     0     0     0     0       0
brilliant                6     3     9     9    51   367   258     4     4   340       7
orange                   6     3     6     6    58   368   228     1     1   341       2
orange                   6     3     6     6    60   368   149     3     3   342       2
of                     -99     0     0     0     0   369     0     0     0     0       0
the                    -99     0     0     0     0   370     0     0     0     0       0
American                 6     3     8     8    71   371   234     0     0   343      16
American                 6     3     8     8    74   371   128     3     3   344      16
oyster-catchers,         6     4    16    15     7   372   258     7     7   345     -99
oyster-catchers,         6     4    16    15     5   372   124     5     5   346     -99
oyster-catchers,         6     4    16    15    12   372   223    12    12   347     -99
the                    -99     0     0     0     0   373     0     0     0     0       0
glistening               6     4    10    10    25   374   209     4     4   348       1
silver                   6     4     6     6    34   375   263     2     2   349       5
of                     -99     0     0     0     0   376     0     0     0     0       0
hundreds                 6     4     8     8    45   377    62     3     3   350       6
of                     -99     0     0     0     0   378     0     0     0     0       0
dolphins                 6     4     8     8    54   379    56     0     0   352       1
dolphins                 6     4     8     8    62   379   311     8     8   353       1
swooping                 6     4     8     8    67   380   142     4     4   354       1
round                    6     4     5     5    72   381   124     0     0   355      11
your                   -99     0     0     0     0   382     0     0     0     0       0
ship                   -99     0     0     0     0   383     0     0     0     0       0
in                       6     5     2     2    12   384   170     2     2   356    1091
in                       6     5     2     2    10   384   160     0     0   357    1091
the                    -99     0     0     0     0   385     0     0     0     0       0
dawn                     6     5     4     4    21   386   312     4     4   358       3
light.                 -99     0     0     0     0   387     0     0     0     0       0
We                     -99     0     0     0     0   388     0     0     0     0       0
spent                    6     5     5     5    37   389   166     1     1   359      15
eight                    6     5     5     5    46   390   258     4     4   360       6
days                   -99     0     0     0     0   391     0     0     0     0       0
in                       6     5     2     2    55   392   168     2     2   361    1091
all,                   -99     0     0     0     0   393     0     0     0     0       0
aboard                   6     5     6     6    65   394   191     4     4   362       2
aboard                   6     5     6     6    67   394   166     6     6   364       2
a                      -99     0     0     0     0   395     0     0     0     0       0
boat                     6     5     4     4    70   396   267     0     0   363       8
called                   7     1     6     6     3   397   204     3     3   365      22
Tropic                   7     1     6     6    13   398   176     6     6   367       1
Tropic                   7     1     6     6    10   398   340     3     3   368       1
Sun,                     7     1     4     3    14   399   187     0     0   366       2
visiting                 7     1     8     8    27   400   222     8     8   369       4
all                    -99     0     0     0     0   401     0     0     0     0       0
parts                    7     1     5     5    37   402   136     5     5   370       7
